type;created_at;snapshot_id;status;parent;branch;depth;idea;benchmark_preset;native_avg;native_p50;timsort_avg;timsort_p50;delta_vs_immediate_parent_overall_score_p50;display_preset_improvement_vs_native_avg;preset_score_p50;display_preset_improvement_vs_native_p50;anchor_id;anchor_score_p50;delta_vs_anchor_score_p50;suite_presets;primary_metric;preset_quick_score_p50;anchor_preset_quick_score_p50;delta_vs_anchor_preset_quick_score_p50;preset_medium_score_p50;anchor_preset_medium_score_p50;delta_vs_anchor_preset_medium_score_p50;preset_balanced_score_p50;anchor_preset_balanced_score_p50;delta_vs_anchor_preset_balanced_score_p50;passed;failed;total_ms;threshold;tests_failed;anchor_preset_score_p50;current_preset_score_p50;delta_vs_anchor_preset_score_p50;benchmark_step_total;iteration_total;suite_benchmark_current_total;suite_benchmark_parent_total;suite_benchmark_combined_total;overall_score_p50;anchor_overall_score_p50;delta_vs_anchor_overall_score_p50;anchor_improvement_vs_native_overall_p50;improvement_vs_native_overall_p50
snapshot;2026-03-21T15:45:06.929Z;0040;winner;0039;B04.S02.S02.S02.S01;1;anchor 0039 sibling: bulk copy threshold 832->896 with case4;medium;50,496 ms;46,550 ms;48,791 ms;43,855 ms;0,237%;3,378%;0,967379;3,262%;0039;0,984970;1,138%;quick,medium,balanced;overall_geomean_score_p50;0,983461;1,008193;2,453%;0,967379;0,963763;-0,375%;0,970530;0,983455;1,314%;7/7;0;248,876 ms;1,00%;0;0,963763;0,967379;-0,375%;67187,000 ms (67,187 s);67445,000 ms (67,445 s);33271,725 ms (33,272 s);33384,916 ms (33,385 s);66656,641 ms (66,657 s);0,973765;0,984970;1,138%;1,503%;2,624%
snapshot;2026-03-21T15:46:34.408Z;0041;loser;0040;B04.S02.S02.S02.S01.S01;1;anchor 0040 sibling: bulk copy threshold 896->960 with case4;medium;51,922 ms;47,999 ms;49,602 ms;46,946 ms;1,614%;4,469%;0,947851;5,215%;0040;0,964315;0,649%;quick,medium,balanced;overall_geomean_score_p50;0,982713;1,001575;1,883%;0,947851;0,940224;-0,811%;0,944062;0,952229;0,858%;7/7;0;284,782 ms;1,00%;0;0,940224;0,947851;-0,811%;68984,000 ms (68,984 s);69278,000 ms (69,278 s);34045,483 ms (34,045 s);34399,577 ms (34,400 s);68445,060 ms (68,445 s);0,958052;0,964315;0,649%;3,568%;4,195%
snapshot;2026-03-21T15:48:00.012Z;0042;loser;0041;B04.S02.S02.S02.S01.S01;2;guardrail recovery: bulk copy threshold 960->928 with case4;medium;51,013 ms;47,546 ms;49,177 ms;44,114 ms;-2,383%;3,599%;0,965356;3,464%;0040;0,975088;-0,594%;quick,medium,balanced;overall_geomean_score_p50;1,012045;0,986714;-2,567%;0,965356;0,960373;-0,519%;0,965963;0,978363;1,267%;7/7;0;256,342 ms;1,00%;0;0,960373;0,965356;-0,519%;67657,000 ms (67,657 s);67922,000 ms (67,922 s);33576,921 ms (33,577 s);33546,734 ms (33,547 s);67123,655 ms (67,124 s);0,980880;0,975088;-0,594%;2,491%;1,912%
snapshot;2026-03-21T15:49:25.049Z;0043;loser;0042;B04.S02.S02.S02.S01.S01;3;speculative continuation: bulk copy threshold 928->880 with case4;medium;51,216 ms;48,626 ms;49,634 ms;45,675 ms;1,566%;3,089%;0,958667;4,133%;0040;0,971172;0,582%;quick,medium,balanced;overall_geomean_score_p50;1,006112;0,980579;-2,604%;0,958667;0,945547;-1,388%;0,933183;0,987924;5,541%;7/7;0;261,518 ms;1,00%;0;0,945547;0,958667;-1,388%;68796,000 ms (68,796 s);69067,000 ms (69,067 s);33994,052 ms (33,994 s);34263,264 ms (34,263 s);68257,317 ms (68,257 s);0,965518;0,971172;0,582%;2,883%;3,448%
snapshot;2026-03-21T15:51:04.290Z;0044;loser;0043;B04.S02.S02.S02.S01.S01;4;speculative gallop tuning: minGalloping 8->9 with threshold880+case4;medium;50,727 ms;47,805 ms;48,791 ms;44,065 ms;-0,797%;3,816%;0,964462;3,554%;0040;0,975349;0,219%;quick,medium,balanced;overall_geomean_score_p50;0,975115;0,984759;0,979%;0,964462;0,966082;0,168%;0,980134;0,975295;-0,496%;7/7;0;248,745 ms;1,00%;0;0,966082;0,964462;0,168%;67433,000 ms (67,433 s);67691,000 ms (67,691 s);33295,052 ms (33,295 s);33602,653 ms (33,603 s);66897,705 ms (66,898 s);0,973215;0,975349;0,219%;2,465%;2,678%
snapshot;2026-03-21T15:52:23.005Z;0045;winner;0044;B04.S02.S02.S02.S01.S01;5;final speculative nudge: threshold 880->896 with min9+case4;medium;50,780 ms;47,945 ms;49,075 ms;42,096 ms;-0,777%;3,357%;0,967681;3,232%;0040;1,018813;3,733%;quick,medium,balanced;overall_geomean_score_p50;1,001355;1,040333;3,747%;0,967681;1,001167;3,345%;0,973632;1,015324;4,106%;7/7;0;251,158 ms;1,00%;0;1,001167;0,967681;3,345%;67904,000 ms (67,904 s);68165,000 ms (68,165 s);33436,639 ms (33,437 s);33935,594 ms (33,936 s);67372,234 ms (67,372 s);0,980780;1,018813;3,733%;-1,881%;1,922%
snapshot;2026-03-21T20:02:37.265Z;0046;winner;0045;B04.S02.S02.S02.S01.S01.S01;1;anchor 0045 sibling: fine threshold sweep 896->864 (min9+case4);medium;58,564 ms;56,129 ms;54,210 ms;49,534 ms;1,475%;7,435%;0,944618;5,538%;0045;0,997598;3,136%;quick,medium,balanced;overall_geomean_score_p50;0,976502;1,061840;8,037%;0,944618;0,947678;0,323%;0,978206;0,986612;0,852%;7/7;0;296,401 ms;1,00%;0;0,947678;0,944618;0,323%;75882,000 ms (75,882 s);76188,000 ms (76,188 s);37682,639 ms (37,683 s);37623,622 ms (37,624 s);75306,261 ms (75,306 s);0,966318;0,997598;3,136%;0,240%;3,368%
snapshot;2026-03-21T20:04:07.567Z;0047;loser;0046;B04.S02.S02.S02.S01.S01.S01.S01;1;anchor 0046 sibling: threshold sweep 864->832 (min9+case4);medium;56,237 ms;53,732 ms;55,051 ms;50,896 ms;-3,516%;2,109%;0,959607;4,039%;0046;0,980174;-2,053%;quick,medium,balanced;overall_geomean_score_p50;1,076567;1,014499;-6,118%;0,959607;0,962983;0,351%;0,968836;0,963915;-0,510%;7/7;0;265,936 ms;1,00%;0;0,962983;0,959607;0,351%;77532,000 ms (77,532 s);77812,000 ms (77,812 s);38598,029 ms (38,598 s);38340,117 ms (38,340 s);76938,146 ms (76,938 s);1,000295;0,980174;-2,053%;1,983%;-0,029%
snapshot;2026-03-21T20:05:33.505Z;0048;loser;0047;B04.S02.S02.S02.S01.S01.S01.S01;2;speculative recovery: threshold 832->880 (min9+case4);medium;58,769 ms;59,049 ms;55,177 ms;54,466 ms;0,261%;6,112%;0,995316;0,468%;0046;0,956665;-4,287%;quick,medium,balanced;overall_geomean_score_p50;1,030800;0,940854;-9,560%;0,995316;0,978206;-1,749%;0,967919;0,951321;-1,745%;7/7;0;283,736 ms;1,00%;0;0,978206;0,995316;-1,749%;77141,000 ms (77,141 s);77437,000 ms (77,437 s);37916,858 ms (37,917 s);38628,339 ms (38,628 s);76545,197 ms (76,545 s);0,997680;0,956665;-4,287%;4,334%;0,232%
snapshot;2026-03-21T20:06:59.757Z;0049;loser;0048;B04.S02.S02.S02.S01.S01.S01.S01;3;speculative dimension switch: minGalloping 9->8 at threshold880+case4;medium;55,706 ms;53,091 ms;53,189 ms;49,546 ms;1,863%;4,518%;0,971928;2,807%;0046;0,957154;-2,292%;quick,medium,balanced;overall_geomean_score_p50;0,980485;0,979279;-0,123%;0,971928;0,938499;-3,562%;0,984899;0,954127;-3,225%;7/7;0;273,567 ms;1,00%;0;0,938499;0,971928;-3,562%;75263,000 ms (75,263 s);75546,000 ms (75,546 s);37526,785 ms (37,527 s);37141,798 ms (37,142 s);74668,584 ms (74,669 s);0,979089;0,957154;-2,292%;4,285%;2,091%
snapshot;2026-03-21T20:08:28.307Z;0050;loser;0049;B04.S02.S02.S02.S01.S01.S01.S01;4;speculative gallop probe: minGalloping 8->10 at threshold880+case4;medium;56,751 ms;53,997 ms;54,197 ms;50,305 ms;3,054%;4,500%;0,950794;4,921%;0046;0,916340;-3,585%;quick,medium,balanced;overall_geomean_score_p50;0,957737;0,899026;-6,531%;0,950794;0,881761;-7,829%;0,939126;0,970615;3,244%;7/7;0;270,859 ms;1,00%;0;0,881761;0,950794;-7,829%;77854,000 ms (77,854 s);78135,000 ms (78,135 s);37894,063 ms (37,894 s);39379,648 ms (39,380 s);77273,711 ms (77,274 s);0,949188;0,916340;-3,585%;8,366%;5,081%
snapshot;2026-03-21T20:09:54.973Z;0051;loser;0050;B04.S02.S02.S02.S01.S01.S01.S01;5;final speculative combo: minGalloping 10->9 and threshold 880->848 with case4;medium;57,193 ms;54,645 ms;54,665 ms;49,778 ms;-4,592%;4,420%;0,955426;4,457%;0046;0,958109;-3,619%;quick,medium,balanced;overall_geomean_score_p50;1,026163;0,909960;-12,770%;0,955426;0,992086;3,695%;0,998031;0,974258;-2,440%;7/7;0;272,700 ms;1,00%;0;0,992086;0,955426;3,695%;76682,000 ms (76,682 s);76966,000 ms (76,966 s);37964,152 ms (37,964 s);38129,527 ms (38,130 s);76093,679 ms (76,094 s);0,992779;0,958109;-3,619%;4,189%;0,722%
snapshot;2026-03-21T20:11:33.872Z;0052;loser;0046;B04.S02.S02.S02.S01.S01.S01.S02;1;anchor 0046 sibling: remove case4 insertion fast path (keep min9, threshold864);medium;57,643 ms;57,224 ms;56,347 ms;54,696 ms;-3,992%;2,249%;0,988210;1,179%;0046;0,963268;-4,322%;quick,medium,balanced;overall_geomean_score_p50;1,055299;0,975178;-8,216%;0,988210;0,923817;-6,970%;0,973061;0,992137;1,923%;7/7;0;280,395 ms;1,00%;0;0,923817;0,988210;-6,970%;76173,000 ms (76,173 s);76467,000 ms (76,467 s);37924,997 ms (37,925 s);37655,600 ms (37,656 s);75580,597 ms (75,581 s);1,004897;0,963268;-4,322%;3,673%;-0,490%
snapshot;2026-03-21T20:13:00.694Z;0053;loser;0052;B04.S02.S02.S02.S01.S01.S01.S02;2;speculative without case4: raise threshold 864->1024;medium;58,618 ms;58,281 ms;54,487 ms;50,200 ms;1,746%;7,047%;0,940374;5,963%;0046;0,976165;-1,146%;quick,medium,balanced;overall_geomean_score_p50;1,041674;1,042184;0,049%;0,940374;0,923453;-1,832%;0,982629;0,966519;-1,667%;7/7;0;280,356 ms;1,00%;0;0,923453;0,940374;-1,832%;76828,000 ms (76,828 s);77122,000 ms (77,122 s);37911,097 ms (37,911 s);38364,863 ms (38,365 s);76275,961 ms (76,276 s);0,987356;0,976165;-1,146%;2,384%;1,264%
snapshot;2026-03-21T20:14:26.497Z;0054;loser;0053;B04.S02.S02.S02.S01.S01.S01.S02;3;speculative without case4: minGalloping 9->8 at threshold1024;medium;57,824 ms;56,651 ms;55,949 ms;54,650 ms;1,172%;3,244%;0,952569;4,743%;0046;0,963128;-1,315%;quick,medium,balanced;overall_geomean_score_p50;1,040342;0,972183;-7,011%;0,952569;0,935653;-1,808%;0,937553;0,982175;4,543%;7/7;0;300,318 ms;1,00%;0;0,935653;0,952569;-1,808%;77728,000 ms (77,728 s);78042,000 ms (78,042 s);38349,918 ms (38,350 s);38805,429 ms (38,805 s);77155,347 ms (77,155 s);0,975789;0,963128;-1,315%;3,687%;2,421%
snapshot;2026-03-21T20:15:52.740Z;0055;loser;0054;B04.S02.S02.S02.S01.S01.S01.S02;4;speculative structural reset: re-enable case4 at min8 threshold1024;medium;56,184 ms;51,271 ms;56,078 ms;60,163 ms;-3,304%;0,189%;0,989567;1,043%;0046;0,977647;-3,107%;quick,medium,balanced;overall_geomean_score_p50;1,041122;1,002587;-3,843%;0,989567;0,968855;-2,138%;0,994187;0,961977;-3,348%;7/7;0;300,259 ms;1,00%;0;0,968855;0,989567;-2,138%;76318,000 ms (76,318 s);76631,000 ms (76,631 s);37987,959 ms (37,988 s);37716,599 ms (37,717 s);75704,558 ms (75,705 s);1,008026;0,977647;-3,107%;2,235%;-0,803%
snapshot;2026-03-21T20:17:21.706Z;0056;loser;0055;B04.S02.S02.S02.S01.S01.S01.S02;5;final speculative combo: minGalloping 8->9 and threshold 1024->840 with case4;medium;57,624 ms;61,157 ms;54,262 ms;51,228 ms;-0,803%;5,833%;0,943212;5,679%;0046;0,950078;-6,952%;quick,medium,balanced;overall_geomean_score_p50;1,131175;0,971528;-16,433%;0,943212;0,903866;-4,353%;0,983334;0,976605;-0,689%;7/7;0;288,190 ms;1,00%;0;0,903866;0,943212;-4,353%;77159,000 ms (77,159 s);77458,000 ms (77,458 s);37851,517 ms (37,852 s);38752,390 ms (38,752 s);76603,907 ms (76,604 s);1,016124;0,950078;-6,952%;4,992%;-1,612%
snapshot;2026-03-21T20:18:54.931Z;0057;loser;0046;B04.S02.S02.S02.S01.S01.S01.S03;1;anchor 0046 final sibling: increase state/tmp pooling (pool 1->2, tmp cap x64->x128);medium;55,314 ms;53,176 ms;54,630 ms;50,986 ms;-2,838%;1,237%;0,962150;3,785%;0046;0,930288;-6,821%;quick,medium,balanced;overall_geomean_score_p50;1,045131;0,869660;-20,177%;0,962150;0,964547;0,248%;0,975918;0,959799;-1,679%;7/7;0;272,567 ms;1,00%;0;0,964547;0,962150;0,248%;75836,000 ms (75,836 s);76120,000 ms (76,120 s);37614,771 ms (37,615 s);37621,650 ms (37,622 s);75236,421 ms (75,236 s);0,993747;0,930288;-6,821%;6,971%;0,625%
snapshot;2026-03-21T20:20:23.720Z;0058;loser;0057;B04.S02.S02.S02.S01.S01.S01.S03;2;speculative pooling opposite: pool 2->1 and tmp cap x128->x32;medium;59,887 ms;59,727 ms;55,219 ms;59,282 ms;3,124%;7,795%;0,900740;9,926%;0046;0,927517;-3,793%;quick,medium,balanced;overall_geomean_score_p50;1,028256;0,872464;-17,857%;0,900740;0,950496;5,235%;0,963315;0,962205;-0,115%;7/7;0;269,892 ms;1,00%;0;0,950496;0,900740;5,235%;78421,000 ms (78,421 s);78702,000 ms (78,702 s);39052,842 ms (39,053 s);38774,634 ms (38,775 s);77827,476 ms (77,827 s);0,962698;0,927517;-3,793%;7,248%;3,730%
snapshot;2026-03-21T20:22:02.042Z;0059;loser;0058;B04.S02.S02.S02.S01.S01.S01.S03;3;speculative algorithmic tweak: DEFAULT_MIN_MERGE 32->64;medium;58,632 ms;54,035 ms;53,709 ms;51,925 ms;0,841%;8,396%;0,904852;9,515%;0046;0,924943;-3,206%;quick,medium,balanced;overall_geomean_score_p50;0,980568;0,924444;-6,071%;0,904852;0,899839;-0,557%;0,980418;0,951262;-3,065%;7/7;0;274,431 ms;1,00%;0;0,899839;0,904852;-0,557%;79307,000 ms (79,307 s);79592,000 ms (79,592 s);38719,526 ms (38,720 s);40022,409 ms (40,022 s);78741,935 ms (78,742 s);0,954602;0,924943;-3,206%;7,506%;4,540%
snapshot;2026-03-21T20:23:31.380Z;0060;loser;0059;B04.S02.S02.S02.S01.S01.S01.S03;4;speculative opposite algorithmic tweak: DEFAULT_MIN_MERGE 64->16;medium;56,623 ms;56,939 ms;55,538 ms;51,776 ms;-4,264%;1,915%;0,976990;2,301%;0046;0,942447;-5,609%;quick,medium,balanced;overall_geomean_score_p50;1,027013;0,904392;-13,558%;0,976990;0,965747;-1,164%;0,982659;0,958409;-2,530%;7/7;0;286,522 ms;1,00%;0;0,965747;0,976990;-1,164%;76952,000 ms (76,952 s);77250,000 ms (77,250 s);37920,666 ms (37,921 s);38445,282 ms (38,445 s);76365,948 ms (76,366 s);0,995305;0,942447;-5,609%;5,755%;0,470%
snapshot;2026-03-21T20:25:03.244Z;0061;loser;0060;B04.S02.S02.S02.S01.S01.S01.S03;5;final speculative blend: MIN_MERGE 48 with tmp cap restored x64;medium;58,697 ms;60,873 ms;57,060 ms;49,430 ms;1,373%;2,789%;0,948622;5,138%;0046;0,965645;-1,656%;quick,medium,balanced;overall_geomean_score_p50;1,036170;0,968803;-6,954%;0,948622;0,962903;1,483%;0,962352;0,965238;0,299%;7/7;0;310,346 ms;1,00%;0;0,962903;0,948622;1,483%;78435,000 ms (78,435 s);78755,000 ms (78,755 s);38912,040 ms (38,912 s);38930,428 ms (38,930 s);77842,468 ms (77,842 s);0,981641;0,965645;-1,656%;3,436%;1,836%
snapshot;2026-03-21T20:26:39.175Z;0062;loser;0045;B04.S02.S02.S02.S01.S01.S02;1;anchor 0045 sibling: fine threshold probe 896->912 (min9+case4);medium;61,850 ms;65,962 ms;58,179 ms;57,460 ms;0,587%;5,937%;0,950411;4,959%;0045;0,981129;0,622%;quick,medium,balanced;overall_geomean_score_p50;1,010349;0,921491;-9,643%;0,950411;1,035301;8,200%;0,965305;0,989965;2,491%;7/7;0;277,295 ms;1,00%;0;1,035301;0,950411;8,200%;80179,000 ms (80,179 s);80466,000 ms (80,466 s);41107,408 ms (41,107 s);38456,338 ms (38,456 s);79563,746 ms (79,564 s);0,975025;0,981129;0,622%;1,887%;2,497%
snapshot;2026-03-21T20:28:05.485Z;0063;loser;0062;B04.S02.S02.S02.S01.S01.S02;2;speculative guardrail tune: threshold 912->904 (min9+case4);medium;56,593 ms;53,682 ms;54,207 ms;57,289 ms;0,874%;4,216%;0,958253;4,175%;0045;0,915823;-5,534%;quick,medium,balanced;overall_geomean_score_p50;0,994606;0,805084;-23,541%;0,958253;0,977702;1,989%;0,947275;0,975860;2,929%;7/7;0;285,213 ms;1,00%;0;0,977702;0,958253;1,989%;75960,000 ms (75,960 s);76257,000 ms (76,257 s);37459,606 ms (37,460 s);37901,096 ms (37,901 s);75360,701 ms (75,361 s);0,966501;0,915823;-5,534%;8,418%;3,350%
snapshot;2026-03-21T20:29:53.521Z;0064;loser;0063;B04.S02.S02.S02.S01.S01.S02;3;speculative gallop tune: minGalloping 9->8 at threshold904+case4;medium;56,236 ms;52,603 ms;54,360 ms;58,645 ms;-6,076%;3,335%;1,003387;-0,339%;0045;0,968514;-5,856%;quick,medium,balanced;overall_geomean_score_p50;1,069748;0,921855;-16,043%;1,003387;1,029156;2,504%;1,003949;0,957576;-4,843%;7/7;0;263,538 ms;1,00%;0;1,029156;1,003387;2,504%;76739,000 ms (76,739 s);77015,000 ms (77,015 s);37564,485 ms (37,564 s);38605,643 ms (38,606 s);76170,127 ms (76,170 s);1,025228;0,968514;-5,856%;3,149%;-2,523%
snapshot;2026-03-21T20:31:25.357Z;0065;loser;0064;B04.S02.S02.S02.S01.S01.S02;4;speculative opposite gallop tune: minGalloping 8->10 at threshold904+case4;medium;57,412 ms;58,109 ms;55,315 ms;54,618 ms;2,688%;3,651%;0,955932;4,407%;0045;0,955266;-4,438%;quick,medium,balanced;overall_geomean_score_p50;1,107465;0,907646;-22,015%;0,955932;0,973342;1,789%;0,937990;0,986715;4,938%;7/7;0;267,798 ms;1,00%;0;0,973342;0,955932;1,789%;77236,000 ms (77,236 s);77515,000 ms (77,515 s);38126,569 ms (38,127 s);38487,170 ms (38,487 s);76613,739 ms (76,614 s);0,997666;0,955266;-4,438%;4,473%;0,233%
snapshot;2026-03-21T20:32:53.947Z;0066;loser;0065;B04.S02.S02.S02.S01.S01.S02;5;final speculative blend: minGalloping 10->9 and threshold 904->888 with case4;medium;58,064 ms;55,243 ms;57,809 ms;56,229 ms;0,487%;0,439%;0,981201;1,880%;0045;0,959263;-3,497%;quick,medium,balanced;overall_geomean_score_p50;1,059471;0,936533;-13,127%;0,981201;0,981095;-0,011%;0,941346;0,960679;2,012%;7/7;0;268,917 ms;1,00%;0;0,981095;0,981201;-0,011%;77821,000 ms (77,821 s);78100,000 ms (78,100 s);38833,532 ms (38,834 s);38352,555 ms (38,353 s);77186,087 ms (77,186 s);0,992808;0,959263;-3,497%;4,074%;0,719%
snapshot;2026-03-21T20:34:29.088Z;0067;loser;0045;B04.S02.S02.S02.S01.S01.S03;1;anchor 0045 final sibling: algorithmic tweak DEFAULT_MIN_MERGE 32->40;medium;56,774 ms;57,042 ms;55,675 ms;54,413 ms;0,485%;1,936%;0,974985;2,501%;0045;0,964596;-1,185%;quick,medium,balanced;overall_geomean_score_p50;0,965239;1,060327;8,968%;0,974985;0,872378;-11,762%;0,987990;0,970267;-1,827%;7/7;0;269,495 ms;1,00%;0;0,872378;0,974985;-11,762%;78864,000 ms (78,864 s);79147,000 ms (79,147 s);38356,504 ms (38,357 s);39908,269 ms (39,908 s);78264,773 ms (78,265 s);0,976027;0,964596;-1,185%;3,540%;2,397%
snapshot;2026-03-21T20:35:59.207Z;0068;loser;0067;B04.S02.S02.S02.S01.S01.S03;2;speculative MIN_MERGE correction: 40->36;medium;56,935 ms;52,827 ms;55,017 ms;48,775 ms;-0,953%;3,367%;0,957993;4,201%;0045;0,974245;-1,138%;quick,medium,balanced;overall_geomean_score_p50;1,034937;0,952272;-8,681%;0,957993;0,994836;3,703%;0,964878;0,976095;1,149%;7/7;0;287,813 ms;1,00%;0;0,994836;0,957993;3,703%;77252,000 ms (77,252 s);77551,000 ms (77,551 s);37934,030 ms (37,934 s);38749,364 ms (38,749 s);76683,395 ms (76,683 s);0,985333;0,974245;-1,138%;2,575%;1,467%
snapshot;2026-03-21T20:37:29.847Z;0069;loser;0068;B04.S02.S02.S02.S01.S01.S03;3;speculative MIN_MERGE fine step: 36->34;medium;59,258 ms;63,667 ms;56,483 ms;52,588 ms;-2,642%;4,683%;0,965317;3,468%;0045;0,939990;-7,593%;quick,medium,balanced;overall_geomean_score_p50;1,112484;0,948542;-17,284%;0,965317;0,880501;-9,633%;0,963290;0,994451;3,133%;7/7;0;281,219 ms;1,00%;0;0,880501;0,965317;-9,633%;78625,000 ms (78,625 s);78917,000 ms (78,917 s);38856,852 ms (38,857 s);39201,894 ms (39,202 s);78058,746 ms (78,059 s);1,011363;0,939990;-7,593%;6,001%;-1,136%
snapshot;2026-03-21T20:42:58.010Z;0070;loser;0069;B04.S02.S02.S02.S01.S01.S03;4;recover from MIN_MERGE branch: restore MIN_MERGE 32 and lower threshold 896->872 (min9+case4);medium;60,712 ms;62,542 ms;52,103 ms;50,837 ms;5,187%;14,180%;0,881335;11,867%;0045;0,984404;2,591%;quick,medium,balanced;overall_geomean_score_p50;1,003715;0,902816;-11,176%;0,881335;0,995319;11,452%;0,996705;1,061595;6,112%;7/7;0;306,673 ms;1,00%;0;0,995319;0,881335;11,452%;75697,000 ms (75,697 s);76015,000 ms (76,015 s);36848,779 ms (36,849 s);38269,568 ms (38,270 s);75118,347 ms (75,118 s);0,958898;0,984404;2,591%;1,560%;4,110%
snapshot;2026-03-21T20:44:42.463Z;0071;loser;0070;B04.S02.S02.S02.S01.S01.S03;5;final attempt in S03: threshold 872->864 (MIN_MERGE32, min9, case4);medium;57,403 ms;57,320 ms;55,969 ms;52,400 ms;-3,496%;2,498%;0,950435;4,957%;0045;0,934115;-6,242%;quick,medium,balanced;overall_geomean_score_p50;1,046682;0,896356;-16,771%;0,950435;0,954562;0,432%;0,982549;0,952612;-3,143%;7/7;0;298,920 ms;1,00%;0;0,954562;0,950435;0,432%;78869,000 ms (78,869 s);79179,000 ms (79,179 s);38772,883 ms (38,773 s);39512,540 ms (39,513 s);78285,423 ms (78,285 s);0,992424;0,934115;-6,242%;6,588%;0,758%
snapshot;2026-03-21T20:46:24.166Z;0072;loser;0040;B04.S02.S02.S02.S01.S02;1;anchor 0040 sibling S02: minGalloping 8->7 (threshold896+case4);medium;58,375 ms;61,823 ms;55,954 ms;53,129 ms;-1,748%;4,147%;0,956179;4,382%;0040;0,960056;-3,201%;quick,medium,balanced;overall_geomean_score_p50;1,043381;1,035424;-0,768%;0,956179;0,869617;-9,954%;0,974910;0,982750;0,798%;7/7;0;266,060 ms;1,00%;0;0,869617;0,956179;-9,954%;80545,000 ms (80,545 s);80822,000 ms (80,822 s);39573,065 ms (39,573 s);40396,810 ms (40,397 s);79969,875 ms (79,970 s);0,990792;0,960056;-3,201%;3,994%;0,921%
snapshot;2026-03-21T20:47:55.589Z;0073;loser;0072;B04.S02.S02.S02.S01.S02;2;speculative correction from min7: minGalloping 7->9 (threshold896+case4);medium;57,780 ms;56,189 ms;55,771 ms;53,998 ms;0,696%;3,477%;0,964602;3,540%;0040;0,955629;-2,958%;quick,medium,balanced;overall_geomean_score_p50;1,018259;0,999159;-1,912%;0,964602;0,924728;-4,312%;0,969718;0,944539;-2,666%;7/7;0;299,394 ms;1,00%;0;0,924728;0,964602;-4,312%;78588,000 ms (78,588 s);78898,000 ms (78,898 s);38035,207 ms (38,035 s);39973,001 ms (39,973 s);78008,208 ms (78,008 s);0,983899;0,955629;-2,958%;4,437%;1,610%
snapshot;2026-03-21T20:49:24.452Z;0074;loser;0073;B04.S02.S02.S02.S01.S02;3;speculative threshold shift: 896->864 at min9+case4;medium;56,922 ms;51,911 ms;54,807 ms;53,180 ms;-1,907%;3,716%;0,953419;4,658%;0040;0,959799;-4,466%;quick,medium,balanced;overall_geomean_score_p50;1,069239;0,983195;-8,752%;0,953419;0,932047;-2,293%;0,988799;0,964859;-2,481%;7/7;0;275,549 ms;1,00%;0;0,932047;0,953419;-2,293%;78606,000 ms (78,606 s);78896,000 ms (78,896 s);37925,547 ms (37,926 s);40104,416 ms (40,104 s);78029,964 ms (78,030 s);1,002664;0,959799;-4,466%;4,020%;-0,266%
snapshot;2026-03-21T20:50:51.743Z;0075;loser;0074;B04.S02.S02.S02.S01.S02;4;speculative gallop fallback: minGalloping 9->8 at threshold864+case4;medium;57,180 ms;54,487 ms;57,213 ms;57,492 ms;0,135%;-0,057%;0,985714;1,429%;0040;0,968681;-3,369%;quick,medium,balanced;overall_geomean_score_p50;1,068917;1,036072;-3,170%;0,985714;0,916348;-7,570%;0,952836;0,957396;0,476%;7/7;0;282,618 ms;1,00%;0;0,916348;0,985714;-7,570%;78047,000 ms (78,047 s);78342,000 ms (78,342 s);37974,317 ms (37,974 s);39469,731 ms (39,470 s);77444,049 ms (77,444 s);1,001316;0,968681;-3,369%;3,132%;-0,132%
snapshot;2026-03-21T20:52:19.979Z;0076;loser;0075;B04.S02.S02.S02.S01.S02;5;final attempt S02: reset threshold 864->896 at min8+case4;medium;57,116 ms;53,446 ms;55,322 ms;58,108 ms;3,830%;3,141%;0,950308;4,969%;0040;0,954298;-0,908%;quick,medium,balanced;overall_geomean_score_p50;0,957231;1,004555;4,711%;0,950308;0,916749;-3,661%;0,981629;0,943685;-4,021%;7/7;0;290,461 ms;1,00%;0;0,916749;0,950308;-3,661%;77721,000 ms (77,721 s);78023,000 ms (78,023 s);37847,876 ms (37,848 s);39283,820 ms (39,284 s);77131,696 ms (77,132 s);0,962963;0,954298;-0,908%;4,570%;3,704%
snapshot;2026-03-21T20:54:14.676Z;0077;winner;0040;B04.S02.S02.S02.S01.S03;1;anchor 0040 final sibling S03: algorithmic MIN_MERGE 32->40;medium;79,575 ms;67,706 ms;55,545 ms;53,170 ms;22,825%;30,198%;0,702390;29,761%;0040;0,987808;23,922%;quick,medium,balanced;overall_geomean_score_p50;0,717504;1,056047;32,058%;0,702390;0,948093;25,915%;0,842160;0,962683;12,519%;7/7;0;296,186 ms;1,00%;0;0,948093;0,702390;25,915%;82548,000 ms (82,548 s);82856,000 ms (82,856 s);41755,413 ms (41,755 s);40220,684 ms (40,221 s);81976,098 ms (81,976 s);0,751506;0,987808;23,922%;1,219%;24,849%
